Category,Location,Map,Names,Permit
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1300 2ND ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002",A  DELI,?a=inspections&permitID=172655
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1300 2ND ST NE WASHINGTON, DC 20002']","http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002",A  DELI,?a=inspections&permitID=6476
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1314 9TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1314 9TH ST NW WASHINGTON, DC 20001",A & D BAR/RESTAURANT-n,?a=inspections&permitID=7190
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4748 SHERIFF RD NE Washington, DC 20019']","http://maps.google.com/maps?q=4748 SHERIFF RD NE Washington, DC 20019",A & S GROCERY,?a=inspections&permitID=188371
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t4748 SHERIFF RD NE Washington, DC 20019']","http://maps.google.com/maps?q=4748 SHERIFF RD NE Washington, DC 20019",A & S GROCERY,?a=inspections&permitID=1040
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3010 RHODE ISLAND AVE NE WASHINGTON, DC 20018']","http://maps.google.com/maps?q=3010 RHODE ISLAND AVE NE WASHINGTON, DC 20018",A A ENTERPRISES,?a=inspections&permitID=5970
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037']","http://maps.google.com/maps?q=2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037",A BAR (n),?a=inspections&permitID=6764
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2619 EVARTS ST NE WASHINGTON, DC 20018']","http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018",A BETTER BATCH,?a=inspections&permitID=187417
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2141 K ST NW Washington, DC 20037']","http://maps.google.com/maps?q=2141 K ST NW Washington, DC 20037",A BLOOMIN SANDWICH CAFE,?a=inspections&permitID=6994
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2619 EVARTS ST NE WASHINGTON, DC 20018']","http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018",A FAMILY AFFAIR,?a=inspections&permitID=187907
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t517 MORSE ST NE Washington, DC 20002']","http://maps.google.com/maps?q=517 MORSE ST NE Washington, DC 20002",A LITTERI,?a=inspections&permitID=517
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1331 PENNSYLVANIA AVE NW WASHINGTON, DC 20004']","http://maps.google.com/maps?q=1331 PENNSYLVANIA AVE NW WASHINGTON, DC 20004",A SLICE OF ITALY,?a=inspections&permitID=1690
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t615 DIVISION AVE NE Washington, DC 20019']","http://maps.google.com/maps?q=615 DIVISION AVE NE Washington, DC 20019",A-1 GROCERY,?a=inspections&permitID=1146
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1420 K ST NW Washington, DC 20005']","http://maps.google.com/maps?q=1420 K ST NW Washington, DC 20005",A-1 WINE AND LIQUORS,?a=inspections&permitID=1802
